Model	Iteration	Value	RNFL	GCIPL	INL	OPL	ONL	EZ	RPE
oct-sam-pre-v2-n025	2	f1-score	0.791	0.746	0.608	0.513	0.314	0.101	0.967
oct-sam-pre-v2-n025	3	f1-score	0.852	0.84	0.566	0.578	0.317	0.095	0.967
oct-sam-pre-v2-n025	4	f1-score	0.858	0.867	0.67	0.743	0.319	0.103	0.983
oct-sam-pre-v2-n050	1	precision	0.704	0.672	0.673	0.509	0.312	0.044	0.889
oct-sam-pre-v2-n050	2	precision	0.833	0.577	0.703	0.418	0.257	0.102	0.967
oct-sam-pre-v2-n050	3	precision	0.854	0.798	0.812	0.503	0.278	0.077	0.962
oct-sam-pre-v2-n050	4	precision	0.892	0.725	0.767	0.529	0.296	0.116	0.967
oct-sam-pre-v2-n050	1	recall	0.792	0.75	0.775	0.65	0.562	0.05	1.0
oct-sam-pre-v2-n050	2	recall	0.892	0.8	0.875	0.5	0.567	0.12	1.0
oct-sam-pre-v2-n050	3	recall	0.908	0.9	0.925	0.7	0.571	0.131	1.0
oct-sam-pre-v2-n050	4	recall	0.908	0.85	0.85	0.7	0.633	0.164	1.0
oct-sam-pre-v2-n050	1	f1-score	0.701	0.687	0.68	0.538	0.33	0.047	0.908
oct-sam-pre-v2-n050	2	f1-score	0.833	0.613	0.74	0.43	0.305	0.109	0.975
oct-sam-pre-v2-n050	3	f1-score	0.855	0.82	0.833	0.547	0.32	0.091	0.97
oct-sam-pre-v2-n050	4	f1-score	0.893	0.757	0.797	0.578	0.342	0.124	0.975
oct-sam-pre-v2-n100	1	precision	0.73	0.672	0.725	0.502	0.269	0.113	0.912
oct-sam-pre-v2-n100	2	precision	0.715	0.679	0.634	0.509	0.216	0.247	0.975
oct-sam-pre-v2-n100	3	precision	0.852	0.858	0.772	0.628	0.321	0.156	0.975
oct-sam-pre-v2-n100	4	precision	0.917	0.84	0.839	0.573	0.38	0.179	0.95
oct-sam-pre-v2-n100	1	recall	0.817	0.75	0.8	0.6	0.612	0.115	1.0
oct-sam-pre-v2-n100	2	recall	0.908	0.85	0.825	0.6	0.621	0.171	1.0
oct-sam-pre-v2-n100	3	recall	0.933	0.95	0.925	0.75	0.633	0.114	1.0
oct-sam-pre-v2-n100	4	recall	0.933	0.95	0.95	0.7	0.633	0.159	1.0
oct-sam-pre-v2-n100	1	f1-score	0.756	0.687	0.707	0.525	0.265	0.1	0.937
oct-sam-pre-v2-n100	2	f1-score	0.754	0.713	0.681	0.517	0.281	0.179	0.983
oct-sam-pre-v2-n100	3	f1-score	0.873	0.883	0.806	0.656	0.323	0.119	0.983
oct-sam-pre-v2-n100	4	f1-score	0.923	0.86	0.867	0.601	0.385	0.143	0.967
